EWX,HYEM,HYG,IEF,IJR,IWM,LQD,SPY,VEA,VNQ,VNQI,VSS,VTV,VWO,VWOB
-0.02134301,0.03645846,-0.013115035,-0.010953321,0.005043068,0.021332365,0.0100209685,0.010434989,0.029756803,0.0033842986,0.019760855,0.018004542,0.0098490175,0.0031476365,0.028891163
-0.003233485,0.009857647,-0.009068931,0.0038024262,-0.0076999627,0.017991118,0.005139266,0.0071786884,0.0048201717,0.017201569,0.0014632121,0.002847826,0.022688262,0.056350123,0.010140035
0.020601293,-0.020666242,0.009916617,0.014754937,-0.03297789,0.062496677,0.012948761,-0.0022465177,-0.008783877,-0.030835547,-0.030381251,-0.003562212,-0.009346124,0.033129625,-0.00032526255
0.008345457,0.0069504483,7.76439e-05,0.014377748,-0.026612144,0.003354542,-0.01025539,0.0011269115,0.03710401,0.017761491,0.0021122452,0.041646026,0.0055989195,0.06746809,-0.00676191
-0.0011579441,-0.017857675,-0.007753713,-0.008274961,0.09030682,0.021796877,0.002175278,0.03638888,0.046122406,0.0667874,0.03528206,0.021386404,0.063700624,0.03521676,0.0011714324
-0.009962628,0.059363537,-0.0099526495,0.0127607435,0.0262749,-0.032976657,-0.00016679708,0.009423333,0.0064642895,0.05157939,0.023579638,0.017904317,0.03407868,0.057013575,0.037124287
-0.016921902,-0.016200025,-0.017022407,-3.3179764e-05,-0.054258928,-0.022161042,-0.019678846,-0.026756879,0.014915045,-0.009681526,0.008660771,0.005118318,-0.038864575,-0.010142701,-0.02050342
0.028535098,-0.013348286,0.016622458,-0.00694028,0.014692991,-0.009850493,-0.0065171197,0.024966355,0.016073667,0.003482215,0.02038055,0.03695048,-0.026655668,0.049206335,-0.031691674
-0.0057403035,-0.012310495,-0.017437305,0.03008025,-0.009803435,0.016867807,0.02212961,0.016938748,-0.0037817713,-0.0198964,-0.0041411165,0.004892016,-0.007342631,0.020734102,0.00032312796
0.04419052,0.03581688,0.018849751,0.018831998,0.031833477,0.045409296,0.016740046,0.018957615,0.045899644,0.04201468,0.011026529,0.04128486,0.006262554,0.05222781,0.022101548
0.00874801,0.008311754,5.6198798e-05,0.017757356,0.04399573,0.037628226,0.019807491,-0.016766246,0.0082833115,-0.01956068,0.03485061,0.018945945,-0.0017048083,-0.0019504558,0.022560067
