variant,date,window_index,scale_index,module_path,base_kernel_type,learned_outputscale_mean,learned_outputscale_min,learned_outputscale_max
positive_beta_prior,2025-12-31,7,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.1547642179749314,0.1547642179749314,0.1547642179749314
positive_beta_prior,2025-12-31,7,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.010749631571768527,0.010749631571768527,0.010749631571768527
positive_beta_prior,2026-01-30,8,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.049955563460566746,0.049955563460566746,0.049955563460566746
positive_beta_prior,2026-01-30,8,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.013291554695149338,0.013291554695149338,0.013291554695149338
positive_beta_prior,2026-01-30,8,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.05213079775492652,0.05213079775492652,0.05213079775492652
positive_beta_prior,2026-01-30,8,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.027153575488540624,0.027153575488540624,0.027153575488540624
positive_beta_prior,2026-01-30,8,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.01872173408757702,0.01872173408757702,0.01872173408757702
positive_beta_prior,2026-01-30,8,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.05000855522755766,0.05000855522755766,0.05000855522755766
positive_beta_prior,2026-01-30,8,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.23678218456033742,0.23678218456033742,0.23678218456033742
positive_beta_prior,2026-01-30,8,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.013475928969242794,0.013475928969242794,0.013475928969242794
positive_beta_prior,2026-02-27,9,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.04678049661602747,0.04678049661602747,0.04678049661602747
positive_beta_prior,2026-02-27,9,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.013837217892632217,0.013837217892632217,0.013837217892632217
positive_beta_prior,2026-02-27,9,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.07065750114228253,0.07065750114228253,0.07065750114228253
positive_beta_prior,2026-02-27,9,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.03013100333390653,0.03013100333390653,0.03013100333390653
positive_beta_prior,2026-02-27,9,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.018756286895344268,0.018756286895344268,0.018756286895344268
positive_beta_prior,2026-02-27,9,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.0386189239310784,0.0386189239310784,0.0386189239310784
positive_beta_prior,2026-02-27,9,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.455745459067014,0.455745459067014,0.455745459067014
positive_beta_prior,2026-02-27,9,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.012833226454728943,0.012833226454728943,0.012833226454728943
positive_beta_prior,2026-03-31,10,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.039055310698479735,0.039055310698479735,0.039055310698479735
positive_beta_prior,2026-03-31,10,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.012958471759814114,0.012958471759814114,0.012958471759814114
positive_beta_prior,2026-03-31,10,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.061274462861134124,0.061274462861134124,0.061274462861134124
positive_beta_prior,2026-03-31,10,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.025598379198597483,0.025598379198597483,0.025598379198597483
positive_beta_prior,2026-03-31,10,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.015379934730133622,0.015379934730133622,0.015379934730133622
positive_beta_prior,2026-03-31,10,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.08457749950214823,0.08457749950214823,0.08457749950214823
positive_beta_prior,2026-03-31,10,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.2646667641063707,0.2646667641063707,0.2646667641063707
