horizon,feature_a,feature_b,corr,abs_corr
3W-FRI,mom12m_skip1m,tbill3m,-0.39481388132030526,0.39481388132030526
3W-FRI,ma_regime,vol_ratio_1m_3m,-0.39435335770127944,0.39435335770127944
3W-FRI,short_reversal_1m,vol_z,0.39386485378248165,0.39386485378248165
3W-FRI,vol_of_vol,max_dd_6m,-0.3933676390584542,0.3933676390584542
3W-FRI,mom6m,baspread,-0.39290725949990923,0.39290725949990923
3W-FRI,mom12m,vix_slope,0.39072333467557424,0.39072333467557424
3W-FRI,mom12m_skip1m,erp,0.388207380489588,0.388207380489588
3W-FRI,spy_ret,lag2_y_excess_lead,0.3878250451812658,0.3878250451812658
3W-FRI,vix_slope,erp,0.38364360365295536,0.38364360365295536
3W-FRI,vol_z,vol_ratio_1m_3m,0.3819979816953287,0.3819979816953287
3W-FRI,mom12m,ma_signal,0.38145750011986945,0.38145750011986945
3W-FRI,mom12m,vix,-0.3813669551532755,0.3813669551532755
3W-FRI,mom6m,short_reversal_1m,-0.38120863971824087,0.38120863971824087
3W-FRI,short_reversal_1m,ma_regime,-0.3793627762177914,0.3793627762177914
3W-FRI,short_reversal_1m,spy_ret,-0.3779035322226481,0.3779035322226481
3W-FRI,mom12m_skip1m,vol_3m,-0.37481702140174755,0.37481702140174755
3W-FRI,vol_1m,vix,0.37349807341386837,0.37349807341386837
3W-FRI,vix_ts_z_12p,spy_ret,0.37301511674508425,0.37301511674508425
3W-FRI,mom12m,cs_mom_rank,0.35933819171557696,0.35933819171557696
3W-FRI,short_reversal_1m,turnover,0.3576507896584205,0.3576507896584205
3W-FRI,mom12m,ma_regime,0.3556573823741296,0.3556573823741296
3W-FRI,vol_of_vol,ret_skew,0.3554258481603683,0.3554258481603683
3W-FRI,mom12m,vol_3m,-0.35407531400843295,0.35407531400843295
3W-FRI,ret_kurt,cpi_chg_12p,-0.35294249656096416,0.35294249656096416
3W-FRI,chmom,cpi_chg_1p,0.3521815538881884,0.3521815538881884
3W-FRI,vol_3m,cpi_chg_12p,0.3496349788660608,0.3496349788660608
3W-FRI,ret_skew,hy_spread_chg_1p,-0.3491954861016875,0.3491954861016875
3W-FRI,ma_regime,max_dd_3m,0.34787168817369,0.34787168817369
