horizon,feature,mean,std,min,p01,p05,p50,p95,p99,max,missing_rate,unique_count
3W-FRI,short_reversal_1m,-0.009191993685333532,0.0559482928258088,-0.18623192748530304,-0.13947354651374738,-0.09437504977812394,-0.013097086628855559,0.08726688510008668,0.1257844194479199,0.14710326496803816,0.0,465
3W-FRI,cs_mom_rank,0.6,0.28314733583967105,0.2,0.2,0.2,0.6,1.0,1.0,1.0,0.0,5
3W-FRI,ma_signal,0.009609612017954393,0.03163979658194613,-0.08368936814889227,-0.07650496173645356,-0.049773471503220576,0.013102622894850757,0.05329223390421951,0.07702187188798662,0.08671915393927243,0.0,465
3W-FRI,ma_regime,0.6645161290322581,0.47266785954885976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2
3W-FRI,trend_slope,0.09945144451957988,0.5936055578861172,-3.065480814351666,-1.5311461371880095,-0.836934854086341,0.08865629914519269,1.1603044465300376,1.67753227570769,3.3130882362266565,0.0,465
3W-FRI,vol_1w,0.010917137689240389,0.004765349801175624,0.0027972157309311407,0.003881502832883513,0.00517095371907686,0.010231390788822733,0.0186723368592915,0.027294404768912185,0.03954755414912158,0.0,465
3W-FRI,vol_1m,0.011571999461417126,0.00461718188662048,0.004490499062178332,0.005073149257650944,0.0057786144633457225,0.010971805458471063,0.01990797715237892,0.02705879226424992,0.03453626205240755,0.0,465
3W-FRI,vol_3m,0.011833322448683526,0.004094082391460602,0.005419311455858986,0.005658136932611472,0.00642804897143972,0.011516613887661526,0.02000158015533017,0.023302478744964095,0.024933777006631814,0.0,465
3W-FRI,vol_of_vol,0.0005266322828387176,0.0003559898093142235,0.0001178356620296169,0.00017051480599698996,0.00022531304547661666,0.00046093443004275534,0.001176310079386341,0.002288791712413202,0.0026811149239180623,0.0,465
3W-FRI,vol_z,0.014809165380312716,0.5858367747860077,-1.2773980398330098,-1.0449921714543957,-0.7986059901159381,-0.08228819439012408,1.1348975423620653,1.5752525906814685,1.9651421244635745,0.0,465
3W-FRI,vol_accel,0.06707648432026866,0.07259544862448622,-0.05457495903785479,-0.04178303670933228,-0.010582266621277312,0.0511770130131826,0.20273944475656344,0.33949571977865733,0.6278527733687931,0.0,465
3W-FRI,vol_ratio_1m_3m,-0.017494224049315,0.1824356392637578,-0.6091728652296019,-0.5097738456891274,-0.2996716446526263,-0.020216476594346593,0.25033600774901643,0.4660175014995706,0.5732849949160724,0.0,465
3W-FRI,downside_vol_1m,0.006557556717795415,0.003011305677633083,0.001972683187455372,0.002377110872551431,0.002825220843368122,0.005998917323151484,0.01241783611080182,0.01739513402377205,0.02005835170791054,0.0,465
3W-FRI,max_dd_3m,-0.11026421965691996,0.06798300237268635,-0.3183452705108243,-0.28731904257634194,-0.2533293583466465,-0.09044978808646777,-0.03084457638927846,-0.0240347646828499,-0.019937639491478087,0.0,314
3W-FRI,max_dd_6m,-0.15113464174377475,0.08824971315365722,-0.40755279766903696,-0.4075527976690369,-0.3288393097555584,-0.11298298141547201,-0.050850422373382664,-0.040643642618576024,-0.03513466356439565,0.0,231
3W-FRI,ret_skew,-0.07360160413414829,0.5009380843404911,-2.463477884696513,-1.2507595177694133,-0.8413878391456312,-0.11054837857887266,0.9081456170857236,1.1668130537542067,1.2533924279193813,0.0,465
3W-FRI,ret_kurt,0.9173675205935856,1.8879285808028652,-1.0292784584530075,-0.8955318992930805,-0.7146206443530089,0.4229681679698156,5.298786687816206,8.64522335192809,10.32252951860559,0.0,465
3W-FRI,ret_autocorr,-0.05600109963924498,0.19396643072656305,-0.5941056151845703,-0.48665786557049506,-0.3735466288197374,-0.05118613100509711,0.23364228928636904,0.37118932027904233,0.6427056641326081,0.0,465
3W-FRI,vol_autocorr,0.9377828219880397,0.04535342673315795,0.6875895922096003,0.7795714376249927,0.8514337960038365,0.9505792974604819,0.9801901791724761,0.986589572167185,0.9890164133523763,0.0,465
3W-FRI,ill_log,0.034135935332493685,0.05622195239064538,8.352577065302226e-05,9.409883123195343e-05,0.00014363647869261578,0.015169656374010762,0.17083965837528875,0.2331877517947255,0.3470027324318029,0.0,465
3W-FRI,dolvol_log,44.347945951880625,2.181613836290272,40.580095925861215,41.04950093657021,41.3426545537895,43.42633145613785,47.825309065420086,48.1303860230439,48.139881065957866,0.0,461
3W-FRI,turnover,0.006482414833470563,0.1613102820788644,-0.4035559045507312,-0.30885147078367126,-0.24306711615946988,0.0016706389384023505,0.29208891712998775,0.4542698943749331,0.6842356423918803,0.0,465
3W-FRI,sd_turn,0.3663095541149305,0.11410434895548982,0.20006929330839895,0.210433334535403,0.2296741649403767,0.34106576985358006,0.5832350460283066,0.6901733301759748,0.9114839092484528,0.0,465
3W-FRI,baspread,0.0736553217363073,0.028097583863150078,0.03290401452843798,0.035649453232666266,0.03885366787044349,0.0696333647850512,0.12391987608905053,0.1617730555163066,0.1995194465663537,0.0,465
3W-FRI,vix,19.31064526752759,5.705932960956027,11.930000305175781,12.198800354003906,12.65999984741211,17.479999542236328,30.670000076293945,37.68760147094743,45.310001373291016,0.0,92
3W-FRI,vix_slope,0.12425164195909637,0.08081563012112836,-0.2104786164185417,-0.11909120642164331,0.013280395052798433,0.13747099128644535,0.23379435570105267,0.2681967264651433,0.28291361994830444,0.0,93
3W-FRI,vix_ts_z_12p,-0.014691239128527328,0.9917403091969735,-2.6926416005380207,-2.387450806981174,-1.824117518906257,0.13802163955519367,1.4620220276091405,1.7194699028205995,2.002980056389553,0.0,93
3W-FRI,spy_ret,4.7638341228945125e-05,0.01297744950505175,-0.06032653456285751,-0.04581723629707257,-0.02305239962287803,0.0018313152201985445,0.016787451037651516,0.022129692759439008,0.02267295842157908,0.0,93
3W-FRI,erp,-0.032879780889994215,0.02376431215275626,-0.10187653666094101,-0.07904302602571862,-0.06510127334398896,-0.03880070737356595,0.01018837512348032,0.01827166018036989,0.01884410574580707,0.0,93
3W-FRI,pct_above_50dma,104.07370010196283,11.893004535668949,0.0,56.805806759810295,93.41014122051777,105.56059262103015,111.97266716933925,113.501962884728,114.11136145907375,0.0,93
3W-FRI,spy_flow_z_12p,-0.025453273909433582,0.9984851598158229,-2.0140974196090378,-1.9949160783024984,-1.7735345472381232,0.007322107601276096,1.6043431615023538,2.251550507464658,2.344775057475071,0.0,93
3W-FRI,hy_spread,0.013152688172043013,0.015305900874968584,0.0,0.0,0.0,0.0,0.0332,0.039508000000000106,0.044500000000000005,0.0,32
3W-FRI,hy_spread_chg_1p,-6.559139784946238e-05,0.0020830543009282064,-0.007800000000000008,-0.006584000000000003,-0.002600000000000005,0.0,0.002700000000000001,0.007328000000000103,0.012000000000000004,0.0,38
3W-FRI,hy_spread_z_12p,-0.1782611473300667,0.7028673028532484,-2.394942283310612,-2.2236108053937182,-1.5105752092922013,0.0,1.0661067439884258,2.29779566114922,2.7323173550332505,0.0,41
