variant,window_date,asset_id,target_winsorize_quantile,lower,upper,n_train,n_low_clipped,n_high_clipped,mean_before,mean_after,std_before,std_after
positive_beta_prior,2025-09-30,BNDX,0.025,-0.03137228551284582,0.02898529416003474,54,2,2,-0.002631423621613449,-0.0025360739280107787,0.015324215533627296,0.014959780696676231
positive_beta_prior,2025-09-30,LQD,0.025,-0.057184997303954994,0.0577211047270652,54,2,2,-0.0022751904249042857,-0.0023220225404783942,0.028977211672902854,0.027577514337901798
positive_beta_prior,2025-09-30,HYG,0.025,-0.044381309467124444,0.04034751403255539,54,2,2,0.0005176748248631416,0.0005136704221016366,0.02274228312883123,0.02001704599431058
positive_beta_prior,2025-09-30,EWX,0.025,-0.06688370140825611,0.07017583898235308,54,2,2,0.003603912362163278,0.0033880044693794407,0.036733117189596404,0.03390329505526702
positive_beta_prior,2025-09-30,VWOB,0.025,-0.06424213442185887,0.05352258099099232,54,2,2,-0.000677547025898794,-0.0014022947182071002,0.029465175179826473,0.027366662010752503
positive_beta_prior,2025-09-30,HYEM,0.025,-0.05495200543673332,0.040246760933431665,54,2,2,-0.0004280423794682108,-0.0013741806481815287,0.025505555474386703,0.021553421493311513
positive_beta_prior,2025-10-31,SPY,0.025,-0.08667693324122028,0.08342367172934942,55,2,2,0.00912797633885744,0.009131590181699298,0.04491040711720454,0.04419514580666232
positive_beta_prior,2025-10-31,MGK,0.025,-0.10208824994151545,0.10822861034463892,55,2,2,0.01216147274603402,0.012324307765623928,0.058792424001239296,0.056349966666789125
positive_beta_prior,2025-10-31,VTV,0.025,-0.07553195459473935,0.06684628831695036,55,2,2,0.006185678472213474,0.005454201579558973,0.0405925792253952,0.038268281947536904
positive_beta_prior,2025-10-31,IJR,0.025,-0.08542284343746565,0.11509478131564299,55,2,2,0.0015154442894092421,0.001581639073179475,0.05771259275305757,0.05676010129610672
positive_beta_prior,2025-10-31,IWM,0.025,-0.09776698005661626,0.10769394148004792,55,2,2,0.0017964392268389336,0.001683024850320331,0.05921402650770004,0.058799000000504836
positive_beta_prior,2025-10-31,VNQ,0.025,-0.08613598970590539,0.09875886572015836,55,2,2,0.0012115245035108726,0.0017208912474524355,0.056228871528168765,0.05390498522376557
