experiment,date,diagnostic,module_path,module_type,mean,min,max,experiment_label
signed_lkj_eta_2,2025-10-31,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.3664311563649536,0.3664311563649536,0.3664311563649536,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.665564259369851,0.1023387103211638,1.5114934592146034,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,5.583949039230472e-05,5.583949039230472e-05,5.583949039230472e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.8115023954860952,0.4472773892084212,1.2996985912895451,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.0004372895307821,0.0004372895307821,0.0004372895307821,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,5.4346183102061095e-06,5.4346183102061095e-06,5.4346183102061095e-06,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.3225564248622996,0.3225564248622996,0.3225564248622996,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8824548170128046,0.3438363845931707,1.2881344050493908,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,8.988862522654036e-05,8.988862522654036e-05,8.988862522654036e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.5046080371963163,0.5046080371963163,0.5046080371963163,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.7876943419419142,0.691590702019272,0.8911956118558685,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.816842642046828,0.7213019458211456,0.92931877502272,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,2.818243507632152e-05,2.818243507632152e-05,2.818243507632152e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.8219702530450619,0.8112065496178822,0.8406184589214994,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.8267172995862913,0.8186001096219441,0.8454936712323663,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.8407845753282686,0.690108631943531,1.0872598603841617,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0065320958912268,0.0060939444094917,0.0066746527242329,signed_lkj_eta_2
signed_lkj_eta_2,2025-11-28,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,219.3645948130805,219.3645948130805,219.3645948130805,signed_lkj_eta_2
signed_lkj_eta_2,2025-11-28,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0001044419735292,0.0001044419735292,0.0001044419735292,signed_lkj_eta_2
signed_lkj_eta_2,2025-11-28,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.975267947323574,0.975267947323574,0.975267947323574,signed_lkj_eta_2
signed_lkj_eta_2,2025-11-28,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,1.2653086127436128e-05,1.2653086127436128e-05,1.2653086127436128e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-11-28,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9395650137151512,0.2835382783393217,1.435899229032305,signed_lkj_eta_2
signed_lkj_eta_2,2025-11-28,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.2971241879645931,0.2971241879645931,0.2971241879645931,signed_lkj_eta_2
